image_url	id	sp	image_type	body_size	handedness	tentacle_number	crest_height	thumb_ratio	pink_purple	clear	body_color	gap	gonodendra	overlap	latitude	longitude	observed_on	time_observed_at	time_zone	user_id	created_at	updated_at	quality_grade	license	num_identification_agreements	num_identification_disagreements	url	observed_on_string	positioning_method	positioning_device	place_state_name	place_country_name
https://inaturalist-open-data.s3.amazonaws.com/photos/54995349/large.jpg	34904768		L	1	L		M	M	Y	Y	Y				18.36573675	109.7518172	2016-01-31	2016-01-31 03:13:14 +0000	Australia/Perth	1867150	2019-10-26 09:36:24 +0000	2019-11-04 14:38:44 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/34904768	Sun Jan 31 2016 11:13:14 GMT+0800 (GMT+8)				China
https://static.inaturalist.org/photos/104826911/large.jpeg	65155311		L	2	L		M	M	Y						50.1281661	-5.487884	2020-11-18	2020-11-18 14:19:33 +0000	UTC	1967599	2020-11-18 15:47:36 +0000	2020-11-18 16:32:46 +0000	research		1	0	https://www.inaturalist.org/observations/65155311	2020-11-18 2:19:33 PM GMT	gps	gps	England	United Kingdom
https://static.inaturalist.org/photos/172785755/large.jpg	103264149		L	2	L	M	M	M	Y		R				26.03841667	-80.11323617	2021-12-18	2021-12-18 19:23:07 +0000	Eastern Time (US & Canada)	1842670	2021-12-18 19:24:37 +0000	2022-02-03 16:47:30 +0000	research		2	0	https://www.inaturalist.org/observations/103264149	Sat Dec 18 2021 14:23:07 GMT-0500 (EST)			Florida	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/61804220/large.jpeg	38862559		L	2	L	2	M 	M	Y		Y				-34.34987566	150.9203713	2018-01-29	2018-01-29 16:07:35 +0000	Amsterdam	2594746	2020-02-19 23:40:14 +0000	2020-10-25 05:52:21 +0000	research	CC-BY-NC-SA	2	0	https://www.inaturalist.org/observations/38862559	2018-01-29 5:07:35 PM GMT+01:00	gps	gps	New South Wales	Australia
https://inaturalist-open-data.s3.amazonaws.com/photos/13363931/large.jpg	9759415		L	2	L	1	H	S	Y	Y	Y	Y			-34.063882	151.156474	2018-02-07		Sydney	486406	2018-02-07 04:36:54 +0000	2018-02-07 05:35:13 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/9759415	2018-02-07			New South Wales	Australia
https://inaturalist-open-data.s3.amazonaws.com/photos/44554904/large.jpg	28575834		L	3	L	2	H	S	Y		R				18.85829663	-68.6302269	2016-10-05	2016-10-05 16:11:24 +0000	UTC	1956097	2019-07-10 20:41:05 +0000	2019-07-12 14:22:24 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/28575834	Wed Oct 05 2016 16:11:24 GMT-0400 (AST)				Dominican Republic
https://inaturalist-open-data.s3.amazonaws.com/photos/180595317/large.jpg	107383632		D	3	L	M	H	S	Y					YES	26.12051739	-80.10457708	2022-02-24	2022-02-24 18:57:00 +0000	Eastern Time (US & Canada)	1754417	2022-02-24 18:57:42 +0000	2022-05-08 15:46:20 +0000	research	CC-BY-NC	4	0	https://www.inaturalist.org/observations/107383632	Thu Feb 24 2022 13:57:00 GMT-0500 (EST)			Florida	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/248348917/large.jpeg	144669398		D	3	L	M	H	S	Y		R				38.26709577	-28.356939	2017-06-13	2017-06-13 15:48:41 +0000	Azores	6231466	2022-12-19 15:09:29 +0000	2022-12-19 15:14:38 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/144669398	2017-06-13 15:48:41	gps	gps		
https://inaturalist-open-data.s3.amazonaws.com/photos/1372387/large.JPG	1091816		L	3	L	M	H	S	Y		R				12.948725	-16.745478	2008-06-13		Madrid	63086	2014-11-24 17:30:50 +0000	2021-12-16 16:14:08 +0000	research	CC-BY-NC	1	0	http://www.inaturalist.org/observations/1091816	2008-06-13				Senegal
https://inaturalist-open-data.s3.amazonaws.com/photos/28412942/large.jpeg	18570120		L	3	L	M	H	S	Y						23.19090381	-81.17582636	2010-01-04	2010-01-04 21:23:00 +0000	Eastern Time (US & Canada)	751808	2018-11-23 03:19:45 +0000	2019-04-10 16:28:31 +0000	research	CC-BY-NC	5	0	https://www.inaturalist.org/observations/18570120	2010/01/04 4:23 PM EST				Cuba
https://inaturalist-open-data.s3.amazonaws.com/photos/35113684/large.jpg	22662209		P	3	L	M	H	S	Y		R				11.3064409	-74.0657561	2016-04-18		Hawaii	1597686	2019-04-18 16:14:50 +0000	2022-02-17 13:38:52 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/22662209	2016-04-18			Magdalena	Colombia
https://static.inaturalist.org/photos/256962542/large.jpg	149148478		L	2	L		H	S	Y		R			YES	21.30903667	-89.543725	2023-02-19	2023-02-19 16:28:49 +0000	America/Merida	3419730	2023-02-19 17:33:20 +0000	2023-02-19 17:36:16 +0000	research		1	0	https://www.inaturalist.org/observations/149148478	2023-02-19 10:28:49-06:00			Yucatán	Mexico
https://static.inaturalist.org/photos/572379/large.jpg	453567		L	2	L		H	S	Y						17.742932	-88.027954	2013-05-06	2013-05-06 10:49:27 +0000	Central Time (US & Canada)	23016	2013-11-11 15:06:54 +0000	2021-12-16 09:50:32 +0000	research	CC-BY-NC	1	0	http://www.inaturalist.org/observations/453567	2013-05-06 5:49:27				Belize
https://static.inaturalist.org/photos/31463992/large.jpg	20374719		L	2	L		H	S	Y		R				25.92047167	-80.121125	2019-02-10	2019-02-10 12:31:28 +0000	Eastern Time (US & Canada)	1114066	2019-02-16 00:13:45 +0000	2019-02-16 03:22:18 +0000	research		2	0	https://www.inaturalist.org/observations/20374719	Sun Feb 10 2019 07:31:28 GMT-0500 (EST)			Florida	United States
https://static.inaturalist.org/photos/48312957/large.jpeg	30904269		P	1	L		H	S	Y						10.26828804	-60.9986418	2013-05-02	2013-05-02 00:43:00 +0000	UTC	2136732	2019-08-15 23:44:11 +0000	2019-08-18 06:16:06 +0000	research	CC-BY	1	0	https://www.inaturalist.org/observations/30904269	2013/05/02 12:43 AM UTC				Trinidad and Tobago
https://inaturalist-open-data.s3.amazonaws.com/photos/171374697/large.jpg	102508994		L	2	L		H	S	Y						26.13428617	-80.1025555	2021-12-03	2021-12-03 21:21:00 +0000	Eastern Time (US & Canada)	4449285	2021-12-05 03:15:57 +0000	2022-05-08 15:48:35 +0000	research	CC-BY-NC	3	0	https://www.inaturalist.org/observations/102508994	Fri Dec 03 2021 16:21:00 GMT-0500 (EST)			Florida	United States
https://static.inaturalist.org/photos/113035797/large.jpg	69637488		L	1	L		H	S	Y						25.80685183	-80.12243982	1986-07-08		Pacific Time (US & Canada)	438493	2021-02-15 21:45:18 +0000	2021-06-02 16:10:33 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/69637488	1986/07/08			Florida	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/174369053/large.jpg	104089663		D	1	L	1	L	S	Y	Y		Y			-33.90475789	151.2686808	2022-01-01	2022-01-01 07:45:18 +0000	Magadan	2182394	2022-01-01 07:46:06 +0000	2022-02-03 16:11:20 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/104089663	Sat Jan 01 2022 18:45:18 GMT+1100 (GMT+11)			New South Wales	Australia
https://inaturalist-open-data.s3.amazonaws.com/photos/256712184/large.jpeg	149013983		L	1	L	1	L	S	Y	Y		Y			13.3698106	144.7708714	2023-02-18	2023-02-18 02:38:21 +0000	Guam	4756772	2023-02-18 03:49:12 +0000	2023-02-19 02:22:08 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/149013983	2023-02-18 12:38:21	gps	gps	Inarajan	
https://inaturalist-open-data.s3.amazonaws.com/photos/226417184/large.jpg	132967232		P	1	L	2	L	S	Y						-24.99899571	153.1260643	2007-03-08	2007-03-08 11:32:16 +0000	Brisbane	1157928	2022-08-30 16:46:11 +0000	2022-09-02 03:25:34 +0000	research	CC0	1	0	https://www.inaturalist.org/observations/132967232	2007-03-08 12:32:16+01:00				
https://static.inaturalist.org/photos/44578335/large.jpeg	28589982		D	1	L	2	L	S	Y		Y	Y			-3.636589643	-80.6049202	2019-07-10	2019-07-10 23:11:31 +0000	Bogota	1693112	2019-07-11 01:31:56 +0000	2020-08-01 01:47:48 +0000	research		3	0	https://www.inaturalist.org/observations/28589982	2019-07-10 6:11:31 PM GMT-05:00	gps	gps		Peru
https://static.inaturalist.org/photos/174445294/large.jpg	104129629		D	2	L	M	L	S	Y					YES	28.95868422	-95.27544838	2022-01-01	2022-01-01 13:25:58 +0000	UTC	3963112	2022-01-01 20:50:40 +0000	2022-02-03 16:09:02 +0000	research		2	0	https://www.inaturalist.org/observations/104129629	Sat Jan 01 2022 13:25:58 GMT-0600 (CST)			Texas	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/262126718/large.jpg	151867001		D	2	L	M	L	S	Y		Y	Y			-31.44265264	152.9260051	2023-03-22	2023-03-21 21:15:55 +0000	Sydney	5660462	2023-03-21 21:15:59 +0000	2023-03-22 03:57:24 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/151867001	2023-03-22 08:15:55+11:00			New South Wales	Australia
https://inaturalist-open-data.s3.amazonaws.com/photos/6673298/large.jpg	5426125		L	3	L	M	L	S	Y						10.37938667	-61.01493612	2014-04-25	2014-04-25 16:42:21 +0000	Eastern Time (US & Canada)	44356	2017-03-22 15:46:17 +0000	2017-03-22 21:23:33 +0000	research	CC-BY-NC	1	0	http://inaturalist.ca/observations/5426125	Fri Apr 25 2014 12:42:21 GMT-0400 (EDT)				Trinidad and Tobago
https://inaturalist-open-data.s3.amazonaws.com/photos/11396438/large.jpeg	8532723		D	3	L	M	L	S	Y						43.92955	-59.972992	2017-07-05		Atlantic Time (Canada)	249797	2017-10-24 17:34:15 +0000	2022-07-27 13:16:41 +0000	research	CC-BY-NC	6	0	https://www.inaturalist.org/observations/8532723	2017-07-05				Canada
https://inaturalist-open-data.s3.amazonaws.com/photos/58766073/large.jpeg	37104771		D	2	L		L	S	Y					YES	-28.25503469	-48.67276913	2013-12-28	2013-12-28 07:48:00 +0000	Mid-Atlantic	2384072	2019-12-30 18:50:00 +0000	2020-02-09 19:44:09 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/37104771	2013/12/28 5:48 AM -0200			Santa Catarina	Brazil
https://inaturalist-open-data.s3.amazonaws.com/photos/6691507/large.jpeg	5438297		D	2	L		L	S	Y		R				19.27793158	-81.25574203	2012-03-09		UTC	241160	2017-03-24 00:58:56 +0000	2017-03-28 09:30:12 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/5438297	2012-03-09				Cayman Islands
https://inaturalist-open-data.s3.amazonaws.com/photos/102388722/large.jpeg	63762167		L	1	L		L	S	Y						48.557744	-5.065690299	2020-10-29	2020-10-29 13:53:38 +0000	Paris	3773405	2020-10-29 13:57:43 +0000	2022-03-03 10:44:55 +0000	research	CC-BY-NC-ND	1	0	https://www.inaturalist.org/observations/63762167	2020-10-29 2:53:38 PM GMT+01:00	gps	gps		France
https://inaturalist-open-data.s3.amazonaws.com/photos/13447176/large.jpg	9823113		V	2	L		L	S	Y		R				27.188252	-80.16027206	2018-02-11	2018-02-11 16:27:51 +0000	Eastern Time (US & Canada)	231709	2018-02-11 16:28:02 +0000	2018-02-11 16:41:56 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/9823113	Sun Feb 11 2018 11:27:51 GMT-0500 (EST)			Florida	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/180915236/large.jpg	107554014		L	2	L		L	S	Y		R				24.65597833	-81.27757167	2022-02-26	2022-02-26 15:01:16 +0000	Eastern Time (US & Canada)	792319	2022-02-27 13:46:26 +0000	2022-03-01 08:30:25 +0000	research	CC-BY-NC	3	0	https://www.inaturalist.org/observations/107554014	Sat Feb 26 2022 10:01:16 GMT-0500 (EST)			Florida	United States
https://static.inaturalist.org/photos/72180367/large.jpeg	45519095		D	2	L	M	M	S	Y					YES	25.86056704	-80.12349386	2018-12-24	2018-12-24 09:54:38 +0000	Rome	2277168	2020-05-10 19:58:16 +0000	2022-03-27 19:24:39 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/45519095	2018-12-24 10:54:38 AM GMT+01:00	gps	gps	Florida	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/194432736/large.jpeg	115185530		L	2	L	M	M	S	Y					YES	27.76312391	-18.12206659	2022-04-21	2022-04-21 19:00:40 +0000	Atlantic/Canary	4848507	2022-05-03 19:02:34 +0000	2022-05-03 20:46:16 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/115185530	2022-04-21 20:00:40	gps	gps	Islas Canarias	Spain
https://static.inaturalist.org/photos/67772/large.jpg	40847		D	2	L	M	M	S	Y						10.3960658	-83.4856913	2006-03-01	2006-03-01 21:18:00 +0000	Hawaii	3885	2011-12-02 19:02:31 +0000	2021-12-16 09:44:47 +0000	research		1	0	http://www.inaturalist.org/observations/40847	March 01, 2006 11:18				Costa Rica
https://static.inaturalist.org/photos/57661782/large.jpeg	36474823		L	3	L	M	M	S	Y		R				26.58546638	-80.03786469	2019-12-08	2019-12-08 19:33:39 +0000	Eastern Time (US & Canada)	1760824	2019-12-08 19:35:40 +0000	2019-12-08 19:53:33 +0000	research		1	0	https://www.inaturalist.org/observations/36474823	2019-12-08 2:33:39 PM EST	gps	gps	Florida	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/263352496/large.jpeg	152546393		D	3	L		M	S	Y					YES	-11.12436389	-37.138225	2023-03-27	2023-03-27 16:11:59 +0000	America/Maceio	4400640	2023-03-27 20:42:55 +0000	2023-03-27 21:02:13 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/152546393	2023-03-27 13:11:59	gps	gps	Sergipe	Brazil
https://static.inaturalist.org/photos/40229931/large.jpg	25936299		L	2	L		M	S	Y		R				27.71669667	-97.14136383	2019-05-28	2019-05-28 07:46:50 +0000	UTC	777973	2019-05-28 12:47:48 +0000	2021-11-10 10:06:49 +0000	research		2	0	https://www.inaturalist.org/observations/25936299	Tue May 28 2019 07:46:50 GMT-0500 (CDT)			Texas	United States
https://static.inaturalist.org/photos/58527413/large.jpg	36969778		L	1	L	M	M	S	Y		R				25.70105	-80.1546555	2019-12-26	2019-12-26 15:34:01 +0000	Eastern Time (US & Canada)	400629	2019-12-26 16:23:20 +0000	2021-02-24 14:41:50 +0000	research		2	0	https://www.inaturalist.org/observations/36969778	Thu Dec 26 2019 10:34:01 GMT-0500 (EST)			Florida	United States
https://static.inaturalist.org/photos/251099529/large.jpg	146095853		L	2	L	M	M	S	Y		R				25.711805	-80.15139717	2023-01-06	2023-01-06 21:30:11 +0000	Eastern Time (US & Canada)	4908072	2023-01-08 05:00:49 +0000	2023-02-01 13:06:16 +0000	research		2	0	https://www.inaturalist.org/observations/146095853	2023-01-06 16:30:11-05:00			Florida	United States
https://static.inaturalist.org/photos/132820700/large.jpg	81005076		L	3	L	M	N	S	Y						27.67392167	-97.16846333	2021-03-16	2021-03-16 09:23:47 +0000	UTC	3856310	2021-05-31 07:40:22 +0000	2021-06-21 16:02:18 +0000	research		5	0	https://www.inaturalist.org/observations/81005076	Tue Mar 16 2021 09:23:47 GMT-0500 (CDT)			Texas	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/39062071/large.jpg	25233188		L	3	L	M	H		Y		R				23.56398756	-79.80467977	2019-02-06	2019-02-06 16:26:34 +0000	Eastern Time (US & Canada)	1729213	2019-05-16 21:10:50 +0000	2020-08-01 01:47:44 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/25233188	Wed Feb 06 2019 11:26:34 GMT-0500 (EST)				
https://inaturalist-open-data.s3.amazonaws.com/photos/5147248/large.jpg	4291846		D	3	L	M	N		Y				Y		51.56555898	-9.012971041	2016-10-07	2016-10-07 16:19:18 +0000	Amsterdam	306839	2016-10-07 17:45:16 +0000	2016-10-29 20:55:05 +0000	research	CC-BY-NC	1	0	http://www.inaturalist.org/observations/4291846	Fri Oct 07 2016 18:19:18 GMT+0100 (GMT+1)				Ireland
https://static.inaturalist.org/photos/294214703/large.jpeg	169684498		D	3	L		N		Y					YES	37.86872672	-8.793385886	2023-06-26		Lisbon	7084165	2023-06-27 00:32:14 +0000	2023-08-16 16:00:26 +0000	research		3	0	https://www.inaturalist.org/observations/169684498	2023-06-26	gps	gps		Portugal
https://inaturalist-open-data.s3.amazonaws.com/photos/4994233/large.jpg	4192134		L	2	L		N		Y						51.55989251	-8.975996127	2016-09-24	2016-09-24 14:15:02 +0000	Amsterdam	306839	2016-09-24 17:46:25 +0000	2021-07-22 13:45:30 +0000	research	CC-BY-NC	2	0	http://www.inaturalist.org/observations/4192134	Sat Sep 24 2016 16:15:02 GMT+0100 (GMT+1)				Ireland
https://static.inaturalist.org/photos/55397894/large.jpg	35152490		L	2	L	M			Y						-2.486535713	-44.28733698	2007-09-09	2007-09-10 03:28:00 +0000	Hawaii	2313698	2019-11-01 02:07:41 +0000	2019-11-01 14:07:19 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/35152490	2007/09/09 5:28 PM HST			Maranhão	Brazil
