status	ID	accession_number	site_ID	ocean	location	site	lat_long	date_collected	collection_ID	raw lat long	collector	permit
high quality	YPM-IZ-110925			NW Pacific	Japan	Amami Oshima (Oohama beach)	28.404780, 129.454826	2/4/2023	JP2	28.404779454604746, 129.45482568985193	Kosuke Uchiwa	
high quality	YPM-IZ-110926			NW Pacific	Japan	Fujisawa Enoshima (Nishi hama beach)	35.309561, 139.478820	4/10/2023	JP3	35.309561, 139.478820	Gaku Yamamoto	
high quality	YPM-IZ-110930			NW Pacific	Japan	Fujisawa Enoshima (Nishi hama beach)	35.309561, 139.478820	4/30/2023	JP7	35.309561, 139.478820	Gaku Yamamoto	
high quality	YPM-IZ-110933			NW Pacific	Japan	Miura Misaki (Arai hama beach)	35.309701, 139.478831	7/20/2023	JP10	35.309701, 139.478831	Kohei Oguchi	
high quality	YPM-IZ-110938			NW Pacific	Japan	Miura Misaki (Arai hama beach)	35.309701, 139.478831	9/22/2023	JP15	35.309701, 139.478831	Kohei Oguchi	
high quality	YPM-IZ-110943			NW Pacific	Japan	Yoshio (in front of Umihaku)	35.134935, 140.284606	5/19/2023	JP20	35.134935, 140.284606	Col. Hiroyuki Tachikawa,Fix. Kensuke Yanagi,Prov. Takato Izumi	
high quality	YPM-IZ-111012			NW Atlantic	Bermuda		32.307800, -64.750500	3/8/2022	76	32.3078° N, 64.7505° W	R. R. Helm	Bermuda Special Permit no. SP200501
high quality	YPM-IZ-111013			NW Atlantic	Bermuda		32.307800, -64.750500	3/8/2022	79	32.3078° N, 64.7505° W	R. R. Helm	Bermuda Special Permit no. SP200501
high quality	YPM-IZ-111014			NW Atlantic	Bermuda		32.307800, -64.750500	3/9/2022	89	32.3078° N, 64.7505° W	R. R. Helm	Bermuda Special Permit no. SP200501
excluded	YPM-IZ-111015			NW Atlantic	Bermuda		32.307800, -64.750500	3/9/2022	90	32.3078° N, 64.7505° W	R. R. Helm	Bermuda Special Permit no. SP200501
high quality	YPM-IZ-111016			NW Atlantic	Bermuda		32.307800, -64.750500	3/9/2022	91	32.3078° N, 64.7505° W	R. R. Helm	Bermuda Special Permit no. SP200501
high quality	YPM-IZ-111017			NW Atlantic	Bermuda		32.307800, -64.750500	3/9/2022	92	32.3078° N, 64.7505° W	R. R. Helm	Bermuda Special Permit no. SP200501
